,Processed Dataset,Accuracy
0,Plasma(Raw),0.8709110334110335
1,Serum(Raw),0.8472465034965035
2,pca2_plasma,0.7985722610722611
3,pca2_serum,0.6962509712509711
4,pca3_plasma,0.8305167055167055
5,pca3_serum,0.7769813519813521
6,pca4_plasma,0.8581585081585082
7,pca4_serum,0.8294968919968919
8,pca5_plasma,0.8321231546231547
9,pca5_serum,0.8252719502719502
10,pca10_plasma,0.8449106449106448
11,pca10_serum,0.8204739704739705
12,pca15_plasma,0.8521610334110333
13,pca15_serum,0.8120823620823622
14,pca20_plasma,0.8270979020979021
15,pca20_serum,0.8444638694638694
16,tsne2_plasma,0.7846882284382284
17,tsne2_serum,0.7711101398601399
18,tsne3_plasma,0.7714792152292154
19,tsne3_serum,0.7168900543900544
