,Processed Dataset,Accuracy
0,Plasma(Specific Metabolics),0.8820318570318569
1,Serum(Specific Metabolics),0.9286761849261849
2,pca2_plasma(Specific Metabolics),0.8960372960372961
3,pca2_serum(Specific Metabolics),0.8873300310800311
4,pca3_plasma(Specific Metabolics),0.8938956876456878
5,pca3_serum(Specific Metabolics),0.8795600233100233
6,pca4_plasma(Specific Metabolics),0.8977466977466978
7,pca4_serum(Specific Metabolics),0.8761509324009324
8,pca5_plasma(Specific Metabolics),0.9033022533022533
9,pca5_serum(Specific Metabolics),0.8973679098679099
10,pca10_plasma(Specific Metabolics),0.9001456876456878
11,pca10_serum(Specific Metabolics),0.9043657731157732
12,pca15_plasma(Specific Metabolics),0.8973630536130536
13,pca15_serum(Specific Metabolics),0.8959158896658896
14,pca20_plasma(Specific Metabolics),0.8834790209790212
15,pca20_serum(Specific Metabolics),0.8966637529137531
16,tsne2_plasma(Specific Metabolics),0.9070852758352761
17,tsne2_serum(Specific Metabolics),0.8870095182595182
18,tsne3_plasma(Specific Metabolics),0.7595619658119658
19,tsne3_serum(Specific Metabolics),0.7306128593628592
