Processed Dataset,Accuracy
Plasma(mix),0.8760975135975138
Serum(mix),0.8667929292929294
pca2_plasma(mix),0.8918123543123544
pca2_serum(mix),0.8197115384615383
pca3_plasma(mix),0.88486790986791
pca3_serum(mix),0.8374660062160062
pca4_plasma(mix),0.8813956876456878
pca4_serum(mix),0.8510926573426574
pca5_plasma(mix),0.8908022533022534
pca5_serum(mix),0.8618881118881119
pca10_plasma(mix),0.8706585081585082
pca15_plasma(mix),0.8820901320901322
pca20_plasma(mix),0.875456487956488
tsne2_plasma(mix),0.8640297202797204
tsne2_serum(mix),0.8197115384615383
tsne3_plasma(mix),0.8218628593628594
tsne3_serum(mix),0.8374660062160062
