Features,test,p-Value
2-ketoisocaproic acid,-0.8243,0.4122
3-phosphoglycerate,0.0146,0.9884
alanine,-0.4597,0.6470
capric acid,0.2301,0.8186
cysteine-glycine,-1.5340,0.1290
glycolic acid,-0.7365,0.4636
heptadecanoic acid,-0.8901,0.3761
leucine,0.8956,0.3732
lysine,-0.0497,0.9605
ornithine,2.1227,0.0369
phosphate,-0.9383,0.3509
threonine,-2.5945,0.0113
tryptophan,-1.9789,0.0513
urea,0.6035,0.5479
uric acid,-2.5900,0.0114
valine,-0.8653,0.3895
1_5-anhydroglucitol,-0.6716,0.5038
1-monostearin,-0.4296,0.6686
2_3-dihydroxybutanoic acid NIST,-1.6214,0.1089
2_4-diaminobutyric acid,-1.2767,0.2054
2-deoxyerythritol,0.1526,0.8791
2-hydroxybutanoic acid,-0.6990,0.4866
2-hydroxyglutaric acid,-1.3024,0.1965
2-hydroxyhippuric acid,1.4228,0.1587
2-hydroxyvaleric acid,0.4864,0.6280
2-ketoglucose dimethylacetal NIST,1.3227,0.1897
3-(3-hydroxyphenyl)propionic acid,-1.6789,0.0971
3-aminoisobutyric acid,0.0079,0.9937
3-hydroxybutanoic acid,-2.3777,0.0198
3-hydroxybutyric acid,1.3303,0.1872
5-hydroxynorvaline NIST,-2.4580,0.0161
5-methoxytryptamine,1.3020,0.1967
acetoacetate,-1.1924,0.2366
aconitic acid,-0.7736,0.4415
adenosine-5-monophosphate,0.4056,0.6861
alloxanoic acid NIST,-0.6861,0.4947
alpha-ketoglutarate,1.5665,0.1212
aminomalonate,-0.3144,0.7540
arabitol,-0.1040,0.9175
arachidic acid,-1.2397,0.2187
arachidonic acid,0.1530,0.8788
azelaic acid,1.8464,0.0685
behenic acid,-1.4529,0.1502
benzoic acid,-1.7667,0.0811
butane-2_3-diol NIST,0.2980,0.7665
butyrolactam NIST,2.0005,0.0488
caprylic acid,0.8682,0.3879
cellobiose,1.6980,0.0934
citrulline,0.6878,0.4936
creatinine,-0.1590,0.8740
cysteine,-1.8530,0.0676
cystine,-0.6741,0.5022
dehydroascorbic acid,-0.6698,0.5049
diglycerol,-0.6045,0.5472
dodecanol,1.1034,0.2732
epsilon-caprolactam,-1.4611,0.1479
erythritol,-0.2085,0.8353
fructose,-1.4142,0.1612
fucose,0.1622,0.8715
fumaric acid,-0.1712,0.8645
galactinol,0.0455,0.9639
galactitol,-0.8687,0.3876
glucoheptulose,-0.9117,0.3646
gluconic acid,0.9786,0.3307
glucose,-1.1367,0.2591
glutamine,-2.1708,0.0329
glyceric acid,0.3014,0.7639
glycerol,0.1856,0.8532
glycerol-3-galactoside,-1.6544,0.1020
glycerol-alpha-phosphate,-0.6987,0.4868
hexuronic acid,0.7228,0.4719
hippuric acid,-1.3935,0.1673
histidine,0.4814,0.6316
hydroxycarbamate NIST,0.4963,0.6211
hydroxylamine,1.0025,0.3191
hypoxanthine,2.1728,0.0328
indole-3-acetate,-0.7432,0.4595
indole-3-lactate,-0.9353,0.3524
inosine,-2.5116,0.0140
isoleucine,0.7415,0.4606
isothreonic acid,1.8014,0.0754
lactamide,1.6317,0.1067
lauric acid,0.3237,0.7470
levoglucosan,0.1068,0.9152
linoleic acid,-0.5010,0.6177
lyxitol,0.7357,0.4641
maltose,0.7965,0.4281
maltotriose,1.5722,0.1198
mannitol,-0.5233,0.6022
mannose,0.1093,0.9133
methanolphosphate,-0.5793,0.5640
methionine,-0.0306,0.9757
methionine sulfoxide,-1.3730,0.1736
myo-inositol,0.3444,0.7314
myristic acid,-1.2736,0.2065
N-acetyl-5-hydroxytryptamine,0.9046,0.3684
N-acetylglycine NIST,-1.0512,0.2963
N-acetylornithine,-1.8668,0.0656
naproxen,-1.7263,0.0881
nicotinic acid,-0.6029,0.5483
nornicotine,-2.0840,0.0404
octadecanol,-1.6930,0.0943
oleic acid,0.1917,0.8484
oxalic acid,0.9631,0.3384
oxoproline,0.9093,0.3659
palmitic acid,-0.5100,0.6115
palmitoleic acid,0.5384,0.5918
parabanic acid NIST,-1.5337,0.1290
p-cresol,-1.6018,0.1132
pelargonic acid,0.6173,0.5388
phenylethylamine,-1.5239,0.1315
phosphoethanolamine,0.2134,0.8315
pipecolinic acid,-0.9140,0.3635
piperidone,-0.9082,0.3665
pseudo uridine,0.9279,0.3562
pyrophosphate,1.7682,0.0808
pyrrole-2-carboxylic acid,-0.3377,0.7365
pyruvic acid,1.3288,0.1877
quinic acid,-2.4860,0.0150
ribose,0.5634,0.5747
salicylaldehyde,0.6292,0.5310
salicylic acid,1.2258,0.2239
serine,2.1537,0.0343
shikimic acid,1.7375,0.0861
stearic acid,-0.7186,0.4745
sucrose,0.4981,0.6198
tartaric acid,-0.6552,0.5142
threitol,0.9185,0.3611
threonic acid,-0.5122,0.6099
tocopherol alpha-,-2.0115,0.0476
tocopherol gamma-,-0.7689,0.4442
trans-4-hydroxyproline,1.3271,0.1883
tyrosine,-0.3981,0.6916
UDP-glucuronic acid,-0.9688,0.3355
uridine,0.6494,0.5179
xylitol,-1.1848,0.2396
xylose,0.0744,0.9409
2-deoxytetronic acid,3.1876,0.0742
asparagine,0.4646,0.4955
beta-alanine,3.4752,0.0623
citric acid,0.8687,0.3513
conduritol-beta-epoxide,0.2238,0.6362
glycine,0.4397,0.5073
hexitol,4.8514,0.0276
indoxyl sulfate,0.0104,0.9187
isocitric acid,0.0263,0.8711
proline,0.2649,0.6068
propane-1_3-diol NIST,1.7465,0.1863
