Features,test,p-Value
2-ketoisocaproic acid,-0.8243410338344794,0.4121968482691871
3-phosphoglycerate,0.014583105869670189,0.9884010848960473
alanine,-0.4596711513923138,0.6469990464335194
capric acid,0.23006741509872253,0.8186266511030169
cysteine-glycine,-1.5340098876760053,0.12897268604382253
glycolic acid,-0.7365479662735182,0.4635517409307217
heptadecanoic acid,-0.8900910351971912,0.37608593951363967
leucine,0.8955758031311601,0.3731661904410849
lysine,-0.04965863972606522,0.960518190155212
ornithine,2.1226688100441984,0.036873934901389224
phosphate,-0.9382716833816004,0.350928969786132
tryptophan,-1.9788519787360836,0.05127366757880616
urea,0.6035124128932459,0.5478752558161248
valine,-0.8652638022846117,0.38948134476177176
1_5-anhydroglucitol,-0.6715698446695524,0.5037922623669445
1-monostearin,-0.4296292328305799,0.6686203279663596
2_3-dihydroxybutanoic acid NIST,-1.6213804035730606,0.1088710836801013
2_4-diaminobutyric acid,-1.2766837905116395,0.20540739873776961
2-deoxyerythritol,0.15261165354409517,0.8790887886114738
2-hydroxybutanoic acid,-0.6990188357419032,0.4865675930063267
2-hydroxyglutaric acid,-1.3024386304703535,0.19650359736105527
2-hydroxyhippuric acid,1.4228002795177515,0.1586819038295684
2-hydroxyvaleric acid,0.4863517329204037,0.6280474809097716
2-ketoglucose dimethylacetal NIST,1.3227117655583924,0.18969996009333764
3-(3-hydroxyphenyl)propionic acid,-1.67887309495303,0.09707888871142628
3-aminoisobutyric acid,0.007924607352615439,0.9936968727161707
3-hydroxybutanoic acid,-2.3777434580705434,0.019805149430888902
3-hydroxybutyric acid,1.3303107208969962,0.1871958379796787
5-hydroxynorvaline NIST,-2.458000768462906,0.016131995292444006
5-methoxytryptamine,1.3019613050556926,0.19666595364370718
acetoacetate,-1.1923591984207829,0.23664522618792805
aconitic acid,-0.7735780505208532,0.4414602845032597
adenosine-5-monophosphate,0.40560967658680064,0.6861121809774471
alloxanoic acid NIST,-0.6860511755660078,0.49466435114329976
alpha-ketoglutarate,1.5665402662053607,0.12116943617545893
aminomalonate,-0.3144140576215886,0.7540250895585141
arabitol,-0.10395124817040113,0.9174682007551881
arachidic acid,-1.2397180875685012,0.2187039699011487
arachidonic acid,0.15302437592488594,0.8787643689331042
azelaic acid,1.8463823094238223,0.06853508170615619
behenic acid,-1.4529215466412888,0.15015686119134117
benzoic acid,-1.7666672034353132,0.08109825709156777
butane-2_3-diol NIST,0.2980201902587887,0.7664603759392062
butyrolactam NIST,2.000455022824971,0.048843699278788795
caprylic acid,0.8682480380118148,0.38785575010370343
cellobiose,1.6980233797304662,0.09339008219267948
citrulline,0.6877625663111752,0.49359160468232954
creatinine,-0.15903896770425324,0.8740389912364919
cysteine,-1.8530166017702654,0.06756727488082839
cystine,-0.6741241124334645,0.5021756962917987
dehydroascorbic acid,-0.6698191630643722,0.5049018624992411
diglycerol,-0.604472590910129,0.5472400565832702
dodecanol,1.1033938264778094,0.27316421512775496
epsilon-caprolactam,-1.461087216353739,0.14790819217850248
erythritol,-0.2085487293744636,0.835330606492992
fructose,-1.4142281981422835,0.16117501159803113
fucose,0.16222462556781117,0.8715380136665991
fumaric acid,-0.1712472344082972,0.8644617773722927
galactinol,0.0454612148409801,0.9638529781499205
galactitol,-0.8687381003765131,0.38758920300754074
glucoheptulose,-0.9117340757844162,0.36464794895637986
gluconic acid,0.9786390858300174,0.33070856130928616
glucose,-1.1367042504278018,0.2590554026635101
glutamine,-2.1708316656502893,0.03290835537937411
glyceric acid,0.30135119844546915,0.7639286107960408
glycerol,0.18561072979391588,0.853219841775391
glycerol-3-galactoside,-1.6544435668045232,0.10195596818861202
