Features,Pearson Coefficient,p-Value
1_5-anhydroglucitol,-0.0516,0.6452
1-monostearin,0.1768,0.1120
2_3-dihydroxybutanoic acid NIST,0.0767,0.4935
2_4-diaminobutyric acid,0.0762,0.4962
2-deoxyerythritol,0.0603,0.5904
2-deoxytetronic acid,0.1982,0.0742
2-hydroxybutanoic acid,-0.0561,0.6166
2-hydroxyglutaric acid,-0.0533,0.6344
2-hydroxyhippuric acid,0.1813,0.1031
2-hydroxyvaleric acid,0.1836,0.0986
2-ketoglucose dimethylacetal NIST,-0.1312,0.2400
2-ketoisocaproic acid,-0.1678,0.1317
3-(3-hydroxyphenyl)propionic acid,-0.1535,0.1686
3-aminoisobutyric acid,0.0368,0.7427
3-hydroxybutyric acid,0.1459,0.1910
acetoacetate,-0.0479,0.6695
aconitic acid,-0.0592,0.5970
alanine,-0.0995,0.3737
alloxanoic acid NIST,0.0805,0.4721
aminomalonate,-0.0923,0.4094
arabitol,0.0158,0.8879
arachidic acid,-0.0900,0.4211
arachidonic acid,-0.1059,0.3437
azelaic acid,0.1270,0.2556
behenic acid,-0.1378,0.2170
butane-2_3-diol NIST,0.1041,0.3519
butyrolactam NIST,0.1521,0.1724
capric acid,0.0951,0.3954
caprylic acid,-0.1259,0.2599
cellobiose,0.1189,0.2872
cholesterol,-0.1264,0.2579
citric acid,-0.0801,0.4745
creatinine,-0.0848,0.4489
cysteine,-0.0112,0.9206
cysteine-glycine,0.2017,0.0693
dehydroascorbic acid,-0.0373,0.7392
deoxypentitol,0.1452,0.1930
diglycerol,-0.0725,0.5177
dodecanol,-0.1139,0.3082
epsilon-caprolactam,0.0131,0.9072
erythritol,-0.0227,0.8397
fructose,-0.1737,0.1185
fucose,-0.0461,0.6809
fumaric acid,-0.0852,0.4465
galactinol,0.0025,0.9825
galactitol,-0.0601,0.5916
glucoheptulose,-0.1618,0.1464
gluconic acid,0.0235,0.8339
glucose,-0.1570,0.1590
glutamic acid,0.2117,0.0562
glyceric acid,0.0605,0.5895
glycerol,0.0215,0.8480
glycerol-3-galactoside,-0.1889,0.0892
glycerol-alpha-phosphate,-0.1817,0.1024
glycine,-0.1124,0.3148
glycolic acid,0.0411,0.7136
heptadecanoic acid,-0.0363,0.7463
hexuronic acid,0.0707,0.5280
hippuric acid,-0.1155,0.3015
histidine,-0.0832,0.4572
hydroxycarbamate NIST,-0.0121,0.9139
hydroxylamine,-0.1215,0.2768
indole-3-acetate,-0.0267,0.8119
indole-3-lactate,-0.1011,0.3663
indoxyl sulfate,-0.0043,0.9694
inosine,-0.1431,0.1997
isocitric acid,0.1047,0.3491
isoleucine,0.0776,0.4886
isothreonic acid,0.2085,0.0602
lauric acid,0.0922,0.4100
leucine,0.1093,0.3284
levoglucosan,-0.0200,0.8581
linoleic acid,-0.0552,0.6223
lyxitol,0.1051,0.3475
mannitol,-0.0536,0.6324
mannose,-0.0061,0.9566
methanolphosphate,-0.1124,0.3147
methionine,-0.0100,0.9291
myo-inositol,0.0812,0.4685
myristic acid,-0.1024,0.3599
N-acetyl-5-hydroxytryptamine,-0.2168,0.0504
N-acetylglycine NIST,-0.1284,0.2503
N-acetylornithine,-0.0653,0.5598
naproxen,-0.1910,0.0857
nicotinic acid,0.0890,0.4264
oleic acid,0.0075,0.9468
ornithine,0.0664,0.5533
oxalic acid,-0.0149,0.8940
oxoproline,0.1320,0.2370
palmitic acid,-0.0577,0.6067
palmitoleic acid,0.0506,0.6517
parabanic acid NIST,0.0633,0.5722
pelargonic acid,-0.0479,0.6693
phenylalanine,0.0531,0.6357
phenylethylamine,-0.1677,0.1321
phosphate,0.0782,0.4852
pipecolinic acid,-0.0677,0.5455
piperidone,-0.0640,0.5677
proline,-0.0379,0.7354
pseudo uridine,0.1283,0.2509
pyrrole-2-carboxylic acid,0.0986,0.3782
ribose,0.1052,0.3471
salicylaldehyde,-0.0088,0.9371
salicylic acid,0.1343,0.2290
serine,-0.1196,0.2845
shikimic acid,-0.1324,0.2357
stearic acid,-0.0119,0.9157
sucrose,0.1318,0.2380
tartaric acid,-0.0354,0.7521
threitol,0.0888,0.4274
tocopherol alpha-,-0.1955,0.0784
tocopherol gamma-,-0.1241,0.2665
trans-4-hydroxyproline,0.1508,0.1763
tyrosine,-0.1370,0.2198
UDP-glucuronic acid,-0.1312,0.2400
urea,0.0299,0.7900
uridine,-0.0015,0.9894
valine,-0.0941,0.4002
xylitol,-0.0680,0.5436
xylose,0.0475,0.6721
