Features,Pearson Coefficient,p-Value
1_5-anhydroglucitol,-0.051610705274612256,0.6451666190665322
1-monostearin,0.17684577469327198,0.11197537619510801
2_3-dihydroxybutanoic acid NIST,0.07668836893035315,0.49347572580319377
2_4-diaminobutyric acid,0.07620134386799565,0.49623255054455506
2-deoxyerythritol,0.060320132897010464,0.5903512733009821
2-deoxytetronic acid,0.19821684795639397,0.07423989048445385
2-hydroxybutanoic acid,-0.056109340284545416,0.6165919653051503
2-hydroxyglutaric acid,-0.053289240875237245,0.6344416487030323
2-hydroxyhippuric acid,0.18128699337353385,0.10311036443455857
2-hydroxyvaleric acid,0.18364840167602103,0.09862511856966853
2-ketoglucose dimethylacetal NIST,-0.13120782498065328,0.24000077666812825
2-ketoisocaproic acid,-0.16784830793524386,0.13173043795289002
3-(3-hydroxyphenyl)propionic acid,-0.15347523185174136,0.16863205085732147
3-aminoisobutyric acid,0.036811615321566765,0.7426567154694883
3-hydroxybutyric acid,0.14587415005668872,0.19098362663916968
acetoacetate,-0.047850408287650255,0.6694547096263616
aconitic acid,-0.059249746774193375,0.5969737454732984
alanine,-0.0995278106337575,0.373660196324168
alloxanoic acid NIST,0.08051347142582437,0.4721062484714017
aminomalonate,-0.09232468827411747,0.4093915392970686
arabitol,0.015814651954525114,0.8878556886325903
arachidic acid,-0.09003877085935777,0.42113448415456595
arachidonic acid,-0.10589419803432326,0.343711496744469
azelaic acid,0.12697180514523002,0.2556490287852932
behenic acid,-0.13779058336221192,0.21702047268719163
butane-2_3-diol NIST,0.10411283876584747,0.3519356900978385
butyrolactam NIST,0.152137612941733,0.172418961656007
capric acid,0.09510156092619948,0.3953867764695298
caprylic acid,-0.1258556229922861,0.25988554774522005
cellobiose,0.11894430764857436,0.2871769638262413
cholesterol,-0.12637445650853146,0.2579103983041597
citric acid,-0.08007433856363115,0.4745338217392974
creatinine,-0.0847770700409203,0.44888915189123857
cysteine,-0.011181801359443447,0.9205792082389403
cysteine-glycine,0.20165142800903485,0.06926158076012928
dehydroascorbic acid,-0.0373199234876588,0.7392292841838358
deoxypentitol,0.14522890874535715,0.1929750803472402
diglycerol,-0.07246017892154,0.5176754331817629
dodecanol,-0.11390599133687508,0.30822736051436844
epsilon-caprolactam,0.013074357483913581,0.9071923037532774
erythritol,-0.022686462476645835,0.8396768442521095
fructose,-0.17373622441291994,0.11852543175428445
fucose,-0.046097638051201754,0.680894931393525
fumaric acid,-0.08521831916201532,0.4465232278693606
galactinol,0.0024669676585914054,0.98245081238346
galactitol,-0.060122803507433584,0.5915696514132539
glucoheptulose,-0.16182776859061673,0.1463601608136765
gluconic acid,0.02351039088149049,0.8339359799182566
glucose,-0.15698994942245162,0.15897397184030318
glutamic acid,0.21174777053772775,0.056167105007794677
glyceric acid,0.060463524601915446,0.5894666363701503
glycerol,0.021492527665557083,0.8480105853701644
glycerol-3-galactoside,-0.18892359315464624,0.08915788328549049
glycerol-alpha-phosphate,-0.18166028764271935,0.10239093016922919
glycine,-0.1123694948502127,0.3148412602726497
glycolic acid,0.04114272077412139,0.7136197049132659
heptadecanoic acid,-0.03626723218017929,0.7463329513217706
hexuronic acid,0.07069168254725701,0.5279729780965133
hippuric acid,-0.11549172175406892,0.30149678850803213
histidine,-0.08324569693397779,0.45715410241636395
hydroxycarbamate NIST,-0.012121780946082232,0.9139273122926701
hydroxylamine,-0.12151978698669828,0.27679316722360825
indole-3-acetate,-0.026691555664318058,0.8118546359636919
indole-3-lactate,-0.10106741898538463,0.36627622333797527
indoxyl sulfate,-0.004300951278211748,0.9694093986237653
inosine,-0.1430813128110867,0.19971109864673273
isocitric acid,0.10471447942852594,0.34914446406066024
isoleucine,0.07755050733638907,0.4886153543417971
isothreonic acid,0.20847494854404153,0.060169749668927394
lauric acid,0.09221068304819033,0.4099726261558404
leucine,0.1092889505172936,0.32837510709827605
levoglucosan,-0.0200452732012648,0.8581348256577631
linoleic acid,-0.055202707877145624,0.6223069017994125
lyxitol,0.10507207305929188,0.3474920133207049
mannitol,-0.05361653098157089,0.6323590890861659
mannose,-0.006101845901787733,0.9566110654719747
methanolphosphate,-0.1124003935026533,0.3147073610083213
methionine,-0.009984543057547767,0.9290596134963892
myo-inositol,0.08116403892446267,0.4685222163071727
myristic acid,-0.10241993212117396,0.35986380244525495
N-acetyl-5-hydroxytryptamine,-0.2168279929693272,0.05038705640721901
N-acetylglycine NIST,-0.12839133020720636,0.25032952099421496
N-acetylornithine,-0.06533521658338133,0.559774526303493
naproxen,-0.19096154855439312,0.08569877265056924
nicotinic acid,0.08903142279299404,0.426370245427204
oleic acid,0.0074772899467475205,0.9468434764003154
ornithine,0.06641083739658339,0.5533160507314385
oxalic acid,-0.014948427697484376,0.8939615856812351
oxoproline,0.13203986079197272,0.23700672360866862
palmitic acid,-0.057686509818329304,0.6067045739102571
palmitoleic acid,0.05060035119478613,0.651657529158895
parabanic acid NIST,0.06327957515008378,0.5722162909014322
pelargonic acid,-0.047876512110368,0.6692848910291367
phenylalanine,0.05309533968418868,0.6356767915156154
phenylethylamine,-0.16766969766145226,0.13214781184785526
phosphate,0.07816739804657094,0.48515318684664355
pipecolinic acid,-0.06772085662116525,0.545498868093052
piperidone,-0.06401842706385832,0.5677295771627455
proline,-0.0378939344890042,0.7353649346603766
pseudo uridine,0.12825005399543252,0.25085551313611254
pyrrole-2-carboxylic acid,0.09858461389426096,0.37822809345208885
ribose,0.10515401277793752,0.347114055947576
salicylaldehyde,-0.00884702066345592,0.9371242420439666
salicylic acid,0.1342894203752722,0.22904175985961564
serine,-0.11960014049202188,0.28450862790306397
shikimic acid,-0.13240867154206315,0.23568789000721213
stearic acid,-0.011875382361985922,0.915670432936723
sucrose,0.13175295005913001,0.23803622261151533
tartaric acid,-0.03540758029081026,0.7521497291150331
threitol,0.08884229468261647,0.4273573878345397
tocopherol alpha-,-0.19550455964549912,0.07837065974880851
tocopherol gamma-,-0.12413391756032238,0.26651339643629673
trans-4-hydroxyproline,0.15079965720627642,0.17626888598899312
tyrosine,-0.13696971812919953,0.2197981309844523
UDP-glucuronic acid,-0.13121417837979918,0.23997781552820163
urea,0.02986721354278628,0.7899569852362249
uridine,-0.0014961734270007388,0.9893561874149275
valine,-0.09414332593243534,0.40018707649117685
xylitol,-0.06803946474760787,0.5436058219602463
xylose,0.04745056647391228,0.6720579513008238
