Features,Pearson Coefficient,p-Value
1_5-anhydroglucitol,-0.07487303662870708,0.5037922623669422
1-monostearin,-0.047978690576355225,0.6686203279663622
2_3-dihydroxybutanoic acid NIST,-0.17836884550239535,0.10887108368010155
2_4-diaminobutyric acid,-0.14130536621672968,0.20540739873776984
2-deoxyerythritol,0.017060018422168217,0.8790887886114706
2-hydroxybutanoic acid,-0.07791509740425373,0.4865675930063279
2-hydroxyglutaric acid,-0.1440973359464132,0.1965035973610562
2-hydroxyhippuric acid,0.15709867239071978,0.15868190382956862
2-hydroxyvaleric acid,0.05429556750102201,0.6280474809097686
2-ketoglucose dimethylacetal NIST,0.14629264350256493,0.18969996009333775
2-ketoisocaproic acid,-0.09177517406765287,0.4121968482691872
3-(3-hydroxyphenyl)propionic acid,-0.18448195315557112,0.09707888871142663
3-aminoisobutyric acid,0.0008859976890214531,0.9936968727161711
3-hydroxybutyric acid,0.14711495327619692,0.1871958379796778
3-phosphoglycerate,0.0016304386352565424,0.9884010848960492
5-methoxytryptamine,0.14404562225370246,0.19666595364370817
acetoacetate,-0.13214081131994923,0.2366452261879274
aconitic acid,-0.08616697889293755,0.44146028450326
adenosine-5-monophosphate,0.045301982842909094,0.6861121809774479
alanine,-0.051325061408253214,0.6469990464335204
alloxanoic acid NIST,-0.07647820997303018,0.49466435114330115
alpha-ketoglutarate,0.17251845910636202,0.12116943617545907
aminomalonate,-0.03513086135094298,0.7540250895585179
arabitol,-0.011621318024507733,0.917468200755188
arachidic acid,-0.13729219145478444,0.21870396990114896
arachidonic acid,0.017106141989278775,0.8787643689331004
asparagine,-0.11406319267630267,0.30755580481458283
azelaic acid,0.20216912942104404,0.06853508170615646
behenic acid,-0.16033987618557133,0.15015686119134078
benzoic acid,-0.19377559178961623,0.081098257091568
butane-2_3-diol NIST,0.03330118983459688,0.7664603759392022
capric acid,0.025713813770810254,0.8186266511030205
caprylic acid,0.09661892022665762,0.38785575010370305
cellobiose,0.18651346572378535,0.09339008219267993
citric acid,-0.07482098212792652,0.5040897263393568
citrulline,0.07666786888649293,0.49359160468233176
creatinine,-0.017778286907501124,0.8740389912364931
cysteine,-0.20286570533191386,0.0675672748808286
cysteine-glycine,-0.16903940498763345,0.1289726860438218
cystine,-0.07515620535215006,0.5021756962918016
dehydroascorbic acid,-0.07467894381836569,0.5049018624992412
diglycerol,-0.06742828170682558,0.547240056583267
dodecanol,0.12243506050061864,0.273164215127755
epsilon-caprolactam,-0.16121765611332797,0.14790819217850185
erythritol,-0.023310121278966183,0.8353306064929917
fructose,-0.15617533871759612,0.16117501159803105
fucose,0.01813428203495157,0.8715380136666038
fumaric acid,-0.019142514638636914,0.864461777372298
galactinol,0.0050826526839416976,0.9638529781499251
galactitol,-0.09667294500732801,0.3875892030075399
glucoheptulose,-0.10140947048353018,0.3646479489563803
gluconic acid,0.108766056795488,0.3307085613092852
glucose,-0.12607335835834538,0.25905540266351024
glyceric acid,0.03367298160478234,0.7639286107960445
glycerol,0.02074744358138443,0.8532198417753959
glycerol-3-galactoside,-0.18188697137073104,0.10195596818861155
glycerol-alpha-phosphate,-0.07787606576304862,0.4867866008787321
glycine,-0.10852676222690161,0.331779934074724
glycolic acid,-0.0820707635590605,0.4635517409307215
heptadecanoic acid,-0.09902606983259382,0.37608593951364006
hexuronic acid,0.08054999416608272,0.471904649716437
hippuric acid,-0.15393761456268415,0.16733735541219513
histidine,0.05374074131792945,0.631569480988183
hydroxycarbamate NIST,0.05540167514237386,0.6210507860060732
hydroxylamine,0.11138821730252434,0.3191127296754245
indole-3-acetate,-0.08281213944267261,0.45950918696180626
indole-3-lactate,-0.10400467705000743,0.35243895703158634
isocitric acid,0.07420821355181478,0.5075981975980888
isoleucine,0.08261445058528522,0.4605852414445054
isothreonic acid,0.1974376538350968,0.0754083054280187
lactamide,0.17946945707310027,0.10666971625744535
lauric acid,0.03616984088998368,0.7469912381228532
leucine,0.09963023286696966,0.37316619044108296
levoglucosan,0.011941452998962668,0.915202983839097
linoleic acid,-0.05593058639823186,0.6177169483297981
lysine,-0.005551919137265015,0.9605181901552131
lyxitol,0.08197948231536398,0.46405081721312486
maltose,0.0886963853895846,0.42811984405778447
maltotriose,0.1731275595768924,0.11984135820037138
mannitol,-0.05840974145151729,0.6021939551836342
mannose,0.012216561151524015,0.9132569074897697
methanolphosphate,-0.06463585548390924,0.5639929328154358
methionine,-0.003422477851812235,0.9756554114668682
methionine sulfoxide,-0.151733353832833,0.17357564057777225
myo-inositol,0.03847680006952054,0.7314476876638606
myristic acid,-0.14097524995030913,0.20647887940809387
N-acetyl-5-hydroxytryptamine,0.10062121817374955,0.36840695785597494
N-acetylglycine NIST,-0.11672897319272037,0.29631251198715913
N-acetylornithine,-0.2043093935282609,0.06559656946489302
naproxen,-0.18951203080808102,0.08814796118438771
nicotinic acid,-0.06725411520753535,0.5482778456616297
octadecanol,-0.18598488031848298,0.09433909277124636
oleic acid,0.021432743141485324,0.8484283317846228
oxalic acid,0.1070557873023788,0.3384140751797304
oxoproline,0.1011383863926781,0.36593803050997636
palmitic acid,-0.05692714777589983,0.6114564020544998
palmitoleic acid,0.06008899241727749,0.5917785261527593
parabanic acid NIST,-0.16900973984125958,0.12904083127342947
p-cresol,-0.17627730588644622,0.11315141393467226
pelargonic acid,0.06885743057917777,0.5387605221044406
phenylethylamine,-0.1679594998180018,0.13147111305529907
phosphate,-0.10432949102480628,0.3509289697861319
phosphoethanolamine,0.023855876808243078,0.8315313105300299
pipecolinic acid,-0.10165701006556827,0.36347235379430903
piperidone,-0.10102130481331488,0.3664960813898688
proline,-0.03565131931011821,0.7504990657899732
propane-1_3-diol NIST,0.18966477293952388,0.08788729828449658
pseudo uridine,0.10318960236874931,0.3562457858686647
pyrophosphate,0.1939385502398143,0.08083799201504852
pyrrole-2-carboxylic acid,-0.03772444363210848,0.7365053002726958
pyruvic acid,0.14694623161522083,0.18770767133357982
ribose,0.06286423550472962,0.5747456957321115
salicylaldehyde,0.07016947730247378,0.5310331231030248
salicylic acid,0.13577737522937036,0.22387723719296748
shikimic acid,0.19069667779624982,0.08614223845434452
stearic acid,-0.08008520355059173,0.4744736778958126
sucrose,0.05559849241752398,0.6198093088543801
tartaric acid,-0.07306101430470294,0.5142002627923492
threitol,0.10215646223194778,0.36110748772056095
threonic acid,-0.057168365393909064,0.6099451919355962
tocopherol gamma-,-0.08564848226879412,0.4442234644248561
trans-4-hydroxyproline,0.14676453435476566,0.1882599999059069
tryptophan,-0.216018674637987,0.051273667578805984
tyrosine,-0.04446621067085633,0.6916083315112697
UDP-glucuronic acid,-0.10769009991559489,0.33554312643314266
urea,0.06732166067369778,0.547875255816122
uridine,0.07241689081614788,0.5179262667928168
valine,-0.0962899178021586,0.38948134476177176
xylitol,-0.13132006328054788,0.2395953718541905
xylose,0.008316153260966934,0.9408901196347512
