,Processed Dataset,Accuracy
0,Plasma(Specific Metabolics),0.8844308469308471
1,Serum(Specific Metabolics),0.8667929292929294
2,pca2_plasma(Specific Metabolics),0.8918123543123544
3,pca2_serum(Specific Metabolics),0.8454788267288267
4,pca3_plasma(Specific Metabolics),0.88486790986791
5,pca3_serum(Specific Metabolics),0.8779186091686091
6,pca4_plasma(Specific Metabolics),0.8813956876456878
7,pca4_serum(Specific Metabolics),0.8837266899766899
8,pca5_plasma(Specific Metabolics),0.8908022533022534
9,pca5_serum(Specific Metabolics),0.8661810411810411
10,pca10_plasma(Specific Metabolics),0.8706585081585082
11,pca10_serum(Specific Metabolics),0.837956487956488
12,pca15_plasma(Specific Metabolics),0.8820901320901322
13,pca20_plasma(Specific Metabolics),0.875456487956488
14,tsne2_plasma(Specific Metabolics),0.851791958041958
15,tsne2_serum(Specific Metabolics),0.8567599067599068
16,tsne3_plasma(Specific Metabolics),0.7774184149184149
17,tsne3_serum(Specific Metabolics),0.7426855089355089
