Processed Dataset,Accuracy
Plasma(Specific Metabolics),0.9090909090909092
Serum(Specific Metabolics),0.7348484848484849
Plasma(Raw),0.8712121212121212
Serum(Raw),0.9090909090909092
pca2_plasma(Exploratory),0.7878787878787878
pca2_serum(Exploratory),0.696969696969697
pca3_plasma(Exploratory),0.8257575757575758
pca3_serum(Exploratory),0.696969696969697
pca4_plasma(Exploratory),0.8257575757575758
pca4_serum(Exploratory),0.8333333333333333
pca5_plasma(Exploratory),0.9090909090909092
pca5_serum(Exploratory),0.9166666666666669
pca10_plasma(Exploratory),0.8257575757575758
pca10_serum(Exploratory),0.7424242424242424
pca15_plasma(Exploratory),0.9090909090909092
pca15_serum(Exploratory),0.7424242424242424
tsne2_plasma(Exploratory),0.8636363636363636
tsne2_serum(Exploratory),0.696969696969697
tsne3_plasma(Exploratory),0.4242424242424242
tsne3_serum(Exploratory),0.696969696969697
