Number of Metabolites,Accuracy
1,0.6213908313908314
2,0.5226126651126651
3,0.778428515928516
4,0.6702088189588189
5,0.773688811188811
6,0.7116783216783219
7,0.7679535742035744
8,0.7815802253302253
9,0.655662393162393
10,0.7735188422688423
11,0.7443900543900542
12,0.7864986402486402
13,0.6656954156954156
14,0.6526078088578089
15,0.7844055944055944
16,0.7674611499611499
17,0.7633197358197359
18,0.7079487179487179
19,0.758180846930847
20,0.7506934731934732
21,0.7477010489510489
22,0.7409178321678322
23,0.7107944832944834
24,0.726965811965812
25,0.722221250971251
26,0.752786519036519
