Number of Metabolites,Accuracy
1,0.5789180264180265
2,0.5759935897435897
3,0.6670192307692308
4,0.6235266122766123
5,0.7123397435897435
6,0.6526981351981351
7,0.782031857031857
8,0.7608197358197358
9,0.809489121989122
10,0.7385771173271172
11,0.8038752913752912
12,0.7959158896658897
13,0.7875242812742813
14,0.7465899378399378
15,0.7976204351204352
16,0.790739121989122
17,0.7889714452214452
18,0.7777972027972029
19,0.7615093240093239
20,0.7417871017871016
21,0.7659965034965035
22,0.7600621600621601
23,0.7772037684537683
24,0.7772037684537683
25,0.7695697358197358
26,0.7600621600621601
