Number of Metabolites,Accuracy
1,0.5982915695415694
2,0.607511655011655
3,0.6112082362082363
4,0.8365472027972028
5,0.7855040792540791
6,0.7763879176379177
7,0.7763626651126652
8,0.8264811577311578
9,0.8058323620823622
10,0.8094357031857031
11,0.7726631701631701
12,0.7854458041958041
13,0.8028399378399378
14,0.8233245920745921
15,0.8243395493395493
16,0.7965569153069152
17,0.8362567987567988
18,0.8323523698523699
19,0.8087412587412587
20,0.8313374125874127
21,0.8271707459207459
22,0.8392968142968144
23,0.7708041958041959
24,0.8281274281274282
25,0.8079885392385393
26,0.7773698523698525
