Number of Metabolites,Accuracy
1,0.5897814685314685
2,0.8208673271173271
3,0.6697639860139859
4,0.7438500388500389
5,0.683847125097125
6,0.677503885003885
7,0.6509508547008548
8,0.7137762237762239
9,0.6820872183372183
10,0.7848475135975137
11,0.7664714452214453
12,0.7761353923853924
13,0.785584693084693
14,0.7609158896658897
15,0.781064491064491
16,0.7513976301476302
17,0.8022668997668998
18,0.763367327117327
19,0.782128010878011
20,0.7772134809634809
21,0.7570211732711731
22,0.7414607614607613
23,0.7233041958041958
24,0.7657867132867132
25,0.7418978243978244
26,0.7456857031857032
