Number of Metabolites,Accuracy
1,0.7227059052059053
2,0.6848144910644909
3,0.6892968142968143
4,0.6146853146853146
5,0.7657439782439782
6,0.7102564102564102
7,0.7784965034965035
8,0.7521406371406372
9,0.7987266899766899
10,0.810595376845377
11,0.8195852758352757
12,0.8022620435120436
13,0.8115141802641801
14,0.8271658896658897
15,0.7906759906759906
16,0.7923756798756798
17,0.8125825563325565
18,0.8348630536130536
19,0.8543123543123542
20,0.7916229603729603
21,0.8285499222999222
22,0.7906177156177157
23,0.7978778166278165
24,0.7906177156177155
25,0.7920066045066045
26,0.8083576146076148
