Number of Metabolites,Accuracy
1,0.6125543900543899
2,0.5678166278166279
3,0.7639413364413364
4,0.5737742812742813
5,0.6298776223776222
6,0.6265617715617716
7,0.6604885392385392
8,0.8059003496503495
9,0.704044289044289
10,0.7812160062160063
11,0.7478195415695416
12,0.7889180264180264
13,0.815243783993784
14,0.7700514763014763
15,0.7964986402486403
16,0.8042336829836829
17,0.8024912587412587
18,0.7969357031857032
19,0.7924912587412587
20,0.7913170163170162
21,0.798266317016317
22,0.7808420745920746
23,0.7784430846930848
24,0.7634761072261073
25,0.7833041958041959
26,0.7784430846930848
