,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,Class
0,27494.666256812743,-4268.93194587395,-63519.06381820758,-6886.197079549348,11551.319600420084,-57545.06437250896,40787.32134663508,17932.91704378698,-11373.915109105008,23230.096033857513,317.59834634291417,-15415.706860557295,1756.9365372389038,-12902.624359197363,4360.731595017793,1569.3635545541713,-5073.111707262501,4368.524286563836,-11865.936066623242,-3299.9797051121527,disease
1,-57539.16570277656,4757.688254445403,-67092.89870157847,-8052.204482194314,39217.97601161738,-13032.892844840095,30372.150031355322,-25274.855721400687,7947.0155362663545,-14219.559373460752,12850.703189482021,751.6207135001265,-5133.438657746857,6443.578344552387,-4368.308595077019,-1771.2190613846092,2856.409959578821,-10906.917809193892,7503.90875616035,-2403.9062076262426,disease
2,-85672.79139933712,104415.05337476931,-26104.27093893147,-16393.59613509509,7713.931464328824,39250.23536215411,14207.086312704685,13166.106950096013,4690.391577268268,3857.248125677478,-6519.351753784388,-4504.072853117523,-12929.663839820541,-2361.874631398891,-6688.718688087232,-2615.7319956131996,3673.096128957835,1742.8733606316634,-3295.7032222789217,1705.705185974908,disease
3,-53732.40516463552,22974.106035203204,-9967.306192403006,126153.35560034709,-36157.559444601895,4795.353784753576,1634.2379135724666,-21279.902778873486,-9331.310425538188,887.8148522671845,-4987.077186916501,-1268.4441972237316,-6635.8511281129595,-11208.917734576704,-22714.009947884184,-8833.378443780568,-6537.606092773431,8164.280255630425,-500.19178773775565,-3626.216791825315,disease
4,48946.57597815341,10084.126039652137,-55629.12064086197,-65545.82750941071,-22248.58362814052,-38135.826512508494,-37943.17500282183,29528.588701584737,-869.0633584876613,22852.88183380324,-3517.239617031265,19184.69204462476,7839.566647414893,1617.7060487858264,-196.55274317322903,-3211.803885110326,-6343.920540689554,3681.666940472288,-797.8198305852297,-7954.388368518843,disease
5,-60939.01254712282,66761.91682631125,-33938.9417209497,-40452.811597931606,43508.83706652939,47617.50948493922,-27995.548366358045,4356.739958506606,13427.303176011708,20753.128936602752,32501.431567459564,23430.955384583904,-14506.769766027519,-102.97136960968542,-9924.877296396651,-11815.36797390832,-12497.096472150042,-6300.269210119146,6038.596102710463,4236.445097336023,disease
6,33735.716804385134,112565.20959256744,-26338.58343592637,-18871.544753268507,-13373.635400342064,-46665.9629943404,-8849.855839458824,60329.54655709693,7864.439971676747,5151.205199959672,5765.321138003774,-6913.125767372724,-3419.1482883021927,13742.03013608843,-7399.042398984355,15565.000961398377,4535.838103443397,-1611.343783024096,5026.1500012281085,-4023.9554236188224,disease
7,-20220.826434550007,-14604.008867124041,56183.17433861075,-87467.58914039384,10544.063223051173,29707.591480914154,-12643.30237182082,-18831.89327429309,-13504.361644091528,22294.882444494582,2835.671713617035,5635.231898206633,-1865.9032277635376,1558.9314055522323,5714.036301896026,-17908.262968905736,15882.058825587816,1679.7514639316178,-5360.644657778493,-3336.596319289951,disease
8,-21137.276182101035,-99100.54507035611,141038.15196423442,34567.19597914979,72501.50807621457,19323.185800052146,-23792.90123917139,-20650.071706789575,-19010.50675627358,-4573.058935629052,22997.0503469656,-3459.4098033465843,6440.0636138195805,4145.285877462154,10018.248519658926,-11522.259829964645,-579.237337579927,-1602.2161531192962,6729.377857111253,2421.213776716598,disease
9,182004.95315224194,34307.35301375196,62527.33285926058,-69294.02008730917,36740.213137346866,51196.48485547994,4625.361644844529,-22392.618781422923,-2772.2211094825693,-7283.5205663950255,31326.853332520535,-4822.707655364844,-9858.943802844562,-5976.4867813289675,-15772.572740963029,-2222.4939885569943,-2614.058631981867,6516.1743572726555,-3053.910122991402,-383.7981259731484,disease
