,pc1,pc2,pc3,pc4,pc5,Class
0,11332.529446658637,4098.770934777279,-56439.8136445564,-7985.200742385983,21841.961981181223,disease
1,-132611.6204073315,-31954.63589068405,-23372.071825162395,-22432.035173033837,39062.40276136359,disease
2,-102831.6103828894,62820.19782254982,-4142.306582016077,39422.78094002363,11913.219253577312,disease
3,925.50098862329,-41072.41631522008,-3271.2978938507417,142535.41064427997,-16870.134927896015,disease
4,113919.31484835241,61849.35501950966,-95822.00413589481,-54597.732395071806,-27801.963072627506,disease
5,-51097.652706434856,28348.88375580811,-52127.65031205986,-13116.335789022087,9627.745490002852,disease
6,-77697.90010517513,72522.56761295174,-27239.98127745899,-5430.209324346483,-13262.360850643321,disease
7,-21457.47398587458,-18849.510058327993,76264.36676358327,-93138.67143066364,-19244.27713660799,disease
8,16114.327673597643,-102749.00864372992,108681.87963970785,-12177.743358473683,51795.90381706828,disease
9,90498.60396860096,103900.98812297892,43065.33012914047,-48000.805396184594,25204.219386532637,disease
10,173.66062770088845,12345.433820022645,-30510.07025878451,-2871.125980867039,10393.664699759247,disease
11,-112510.6358395729,94872.09099835073,28850.297308402423,-4579.799179675187,3358.6735682605363,disease
12,-98479.05765605514,-2824.7484026601473,26073.064366144554,71903.83259317247,-14704.328818928585,disease
13,145614.97068518997,-42990.275101953266,-57701.832505725324,-8247.272542407045,-37261.99062455967,disease
14,-69277.19407210148,-32090.511616232085,-10899.786851456796,8163.235936899957,78604.21115997323,disease
15,-25795.953099655006,-40404.672591667986,-14394.975761010133,100953.46637006302,5274.833297675069,disease
16,-87738.1854922629,18894.846627408282,-33247.24389335818,-31368.88788022588,-18111.826839189565,disease
17,-179360.55667078792,-143237.32019180668,18916.76491083094,8896.124255249944,67445.3409548795,disease
18,1808.420652614615,18191.126467744678,-45807.70893738915,24718.33792841628,30794.32170562102,disease
19,-118088.07238316245,118126.37657647807,-7800.748931064167,29054.90885271434,50806.290541868344,disease
20,58762.001155823986,137659.48880941432,-74868.586603332,30180.094738717045,-7519.553040229031,disease
21,-118299.17609392709,57397.829404583994,103435.94835192343,-26723.16985743416,-19477.525302594702,disease
22,-26436.892473095097,100657.12613556543,142459.65595984,90696.81364635778,36057.20045531956,disease
23,178809.4228597326,-56288.29654082869,75520.61912105618,49409.188583062125,-5084.264206308168,disease
24,-95112.04188496342,294772.257769354,16562.94279896789,106111.9908280443,-2525.9480984696293,disease
25,-44427.94352505614,8585.973853989448,-9247.585005539695,-36637.17266438365,-13179.727830032138,disease
26,11299.242010836084,-132747.8011510341,17939.000895114194,86061.10897044645,19916.82293322819,disease
27,-51162.603145212495,-3049.298355242664,-29587.347643242356,23927.31880384841,-29223.610864307153,disease
28,-116758.50311207103,-43653.9557998144,-43920.15390879013,-119444.01725708893,107046.15859457153,disease
29,-53865.62059204537,2409.9249252720065,-37691.611655680616,24074.05239025381,-33102.76326364526,disease
30,6027.057510171507,34026.78419080492,-18513.260474433922,115798.85586742863,19335.10706156118,disease
31,102087.79696958128,18383.492169836354,-89992.95958356684,-55667.930042259206,33845.40830973243,disease
